c1|c2|res_in|res_calc|res_in_adj_std|res_calc_adj_std|res_in_rank|res_calc_rank|d_i|d_i2
pizza.MozzarellaTopping|pizza.SauceTopping|0|0,3333|0,0|0,32073061954619325|3698,5|5730,5|2032,0|4129024,0
pizza.MozzarellaTopping|pizza.QuattroFormaggi|0|0,1667|0,0|-0,6161177391180243|3698,5|1821,5|-1877,0|3523129,0
pizza.MozzarellaTopping|pizza.SultanaTopping|0|0,25|0,0|-0,14769355978591542|3698,5|4567,5|869,0|755161,0
pizza.MozzarellaTopping|pizza.GarlicTopping|0|0,25|0,0|-0,14769355978591542|3698,5|4567,5|869,0|755161,0
pizza.MozzarellaTopping|pizza.Hot|0|0,125|0,0|-0,8506109957584675|3698,5|246,5|-3452,0|11916304,0
pizza.MozzarellaTopping|pizza.SpinachTopping|0|0,25|0,0|-0,14769355978591542|3698,5|4567,5|869,0|755161,0
pizza.MozzarellaTopping|pizza.VegetableTopping|0|0,3333|0,0|0,32073061954619325|3698,5|5730,5|2032,0|4129024,0
pizza.MozzarellaTopping|owl.Thing|0|0,2|0,0|-0,42886053417493625|3698,5|3253,5|-445,0|198025,0
pizza.MozzarellaTopping|pizza.Veneziana|0|0,1667|0,0|-0,6161177391180243|3698,5|1821,5|-1877,0|3523129,0
pizza.MozzarellaTopping|pizza.SweetPepperTopping|0|0,2|0,0|-0,42886053417493625|3698,5|3253,5|-445,0|198025,0
pizza.MozzarellaTopping|pizza.DomainConcept|0|0,25|0,0|-0,14769355978591542|3698,5|4567,5|869,0|755161,0
pizza.MozzarellaTopping|pizza.Spiciness|0|0,1429|0,0|-0,7499532189271981|3698,5|715,5|-2983,0|8898289,0
pizza.MozzarellaTopping|pizza.ParmesanTopping|0|0,5|0,0|1,258141312159189|3698,5|6661,5|2963,0|8779369,0
pizza.MozzarellaTopping|pizza.FourSeasons|0|0,1667|0,0|-0,6161177391180243|3698,5|1821,5|-1877,0|3523129,0
